"ID"	"smb"	"gen"	"log2"	"pVal"
"280"	7971419	"SIAH3"	"siah E3 ubiquitin protein ligase family member 3"	0.827	3.347
"281"	7971565	"LPAR6"	"lysophosphatidic acid receptor 6"	-1.28	3.978
"282"	7971644	"SPRYD7"	"SPRY domain containing 7"	-0.863	3.394
"284"	7973948	"BRMS1L"	"breast cancer metastasis-suppressor 1-like"	-1.267	3.19
"286"	7974587	"ACTR10"	"actin-related protein 10 homolog"	-0.973	3.527
"287"	7974870	"SNAPC1"	"small nuclear RNA activating complex polypeptide 1"	-1.837	3.746
"288"	7975068	"ZBTB1"	"zinc finger and BTB domain containing 1"	-1.32	3.329
"289"	7976567	"BDKRB1"	"bradykinin receptor B1"	-2.103	4.529
"290"	7976571	"GSKIP"	"GSK3B interacting protein"	-1.007	3.282
"291"	7978838	"DNAAF2"	"dynein axonemal assembly factor 2"	-1.2	3.389
"292"	7979133	"NID2"	"nidogen 2"	1.91	4.408
"293"	7982187	"APBA2"	"amyloid beta precursor protein binding family A member 2"	1.23	3.168
"294"	7985089	"RCN2"	"reticulocalbin 2"	-1.087	3.251
"295"	7985480	"SNHG21///SCARNA15///SNHG21"	"small nucleolar RNA host gene 21///small Cajal body-specific RNA 15///small nucleolar RNA host gene 21"	-1.133	3.19
"298"	7989611	"FAM96A"	"family with sequence similarity 96 member A"	-1.04	3.873
"299"	7992447	"SYNGR3"	"synaptogyrin 3"	1.007	3.151
"300"	7993453	"MPV17L"	"MPV17 mitochondrial inner membrane protein like"	1.117	3.765
"303"	8001133	"SHCBP1"	"SHC binding and spindle associated 1"	-0.963	3.141
"304"	8001410	"AKTIP"	"AKT interacting protein"	-1.177	3.962
"305"	8005225	"USP32P1"	"ubiquitin specific peptidase 32 pseudogene 1"	-1.49	4.197
"306"	8005689	"USP32P2///USP32P1"	"ubiquitin specific peptidase 32 pseudogene 2///ubiquitin specific peptidase 32 pseudogene 1"	-1.357	3.585
"307"	8006638	"GGNBP2"	"gametogenetin binding protein 2"	-0.89	3.254
"308"	8010082	"SNORD1A"	"small nucleolar RNA, C/D box 1A"	-1.303	3.497
"309"	8013272	"CCDC144CP///CCDC144NL///CCDC144B///CCDC144A"	"coiled-coil domain containing 144C, pseudogene///coiled-coil domain containing 144 family, N-terminal like///coiled-coil domain containing 144B (pseudogene)///coiled-coil domain containing 144A"	-1.777	3.161
"310"	8013660	"ALDOC"	"aldolase, fructose-bisphosphate C"	2	3.231
"312"	8014037	"CRLF3"	"cytokine receptor like factor 3"	-1.057	3.411
"313"	8014100	"C17orf75"	"chromosome 17 open reading frame 75"	-1.17	3.244
"314"	8015715	"BECN1"	"beclin 1"	-1.32	3.482
"315"	8020384	"GREB1L"	"growth regulation by estrogen in breast cancer 1 like"	1.15	3.589
"316"	8021301	"RAB27B"	"RAB27B, member RAS oncogene family"	-1.833	4.163
"317"	8022393	"PTPN2"	"protein tyrosine phosphatase, non-receptor type 2"	-0.85	3.19
"318"	8022404	"FAM210A"	"family with sequence similarity 210 member A"	-1.237	3.386
"319"	8023261	"ACAA2"	"acetyl-CoA acyltransferase 2"	1.977	3.838
"320"	8027254	"ZNF90"	"zinc finger protein 90"	2.05	3.261
"321"	8027260	"ZNF486"	"zinc finger protein 486"	3.367	4.201
"323"	8031632	"ZNF542P"	"zinc finger protein 542, pseudogene"	2.437	3.25
"324"	8031712	"ZNF805"	"zinc finger protein 805"	-1.127	3.312
"325"	8033809	"ZNF846"	"zinc finger protein 846"	-1.4	3.73
"326"	8035789	"ZNF826P"	"zinc finger protein 826, pseudogene"	1.827	3.194
"327"	8035795	"ZNF626"	"zinc finger protein 626"	1.733	3.439
"328"	8037298	"CD177"	"CD177 molecule"	-1.343	3.37
"329"	8037467	"ZFP28///ZNF229"	"ZFP28 zinc finger protein///zinc finger protein 229"	2.017	3.632
"330"	8046360	"METAP1D"	"methionyl aminopeptidase type 1D (mitochondrial)"	-1.103	3.429
"331"	8046530	"HOXD11"	"homeobox D11"	-1.327	4.231
"332"	8046536	"HOXD10"	"homeobox D10"	-4.09	5.877
"333"	8046546	"HOXD8"	"homeobox D8"	-1.163	3.891
"334"	8046792	"DUSP19"	"dual specificity phosphatase 19"	-1.417	3.718
"335"	8047086	"NAB1"	"NGFI-A binding protein 1"	-1.237	3.697
"336"	8047419	"CASP8"	"caspase 8"	-1.19	3.423
"337"	8047780	"SNORA41"	"small nucleolar RNA, H/ACA box 41"	-0.883	3.184
"338"	8048432	"CYP27A1"	"cytochrome P450 family 27 subfamily A member 1"	0.783	3.411
"339"	8048889	"FBXO36"	"F-box protein 36"	-0.907	3.77
"340"	8051670	"SOS1"	"SOS Ras/Rac guanine nucleotide exchange factor 1"	-0.913	3.16
"342"	8052438	"LOC339803"	"uncharacterized LOC339803"	-1.193	3.387
"343"	8052554	"FAM161A"	"family with sequence similarity 161 member A"	-1.2	3.585
"344"	8052834	"C2orf42"	"chromosome 2 open reading frame 42"	-1.057	3.288
"345"	8054297	"CHST10"	"carbohydrate sulfotransferase 10"	1.577	3.372
"346"	8056151	"PLA2R1"	"phospholipase A2 receptor 1"	-1.083	3.701
"347"	8056837	"GPR155"	"G protein-coupled receptor 155"	-1.22	4.119
"348"	8057887	"STK17B"	"serine/threonine kinase 17b"	-1.343	3.713
"349"	8058509	"PLEKHM3"	"pleckstrin homology domain containing M3"	-1.07	3.457
"351"	8059650	"SP110"	"SP110 nuclear body protein"	-1.593	4.235
"353"	8063437	"TSHZ2"	"teashirt zinc finger homeobox 2"	-0.807	3.131
"357"	8071061	"TPTEP1"	"transmembrane phosphatase with tensin homology pseudogene 1"	-0.71	3.298
"359"	8074845	"ZNF280B"	"zinc finger protein 280B"	0.983	3.348
"360"	8074944	"DERL3"	"derlin 3"	1.053	3.664
"363"	8081158	"ARL6"	"ADP ribosylation factor like GTPase 6"	-1.72	3.246
"365"	8081590	"PHLDB2"	"pleckstrin homology like domain family B member 2"	-0.967	3.497
"366"	8081676	"GTPBP8"	"GTP binding protein 8 (putative)"	-1.223	3.177
"367"	8082012	"SLC15A2"	"solute carrier family 15 member 2"	-2.567	3.19
"368"	8082368	"PODXL2"	"podocalyxin like 2"	1.427	3.604
"370"	8083887	"CLDN11"	"claudin 11"	1.147	3.223
"371"	8084219	"KLHL24"	"kelch like family member 24"	-2.203	4.928
"372"	8084694	"EIF4A2"	"eukaryotic translation initiation factor 4A2"	-0.977	3.179
"373"	8085033	"LMLN"	"leishmanolysin like peptidase"	-1.407	4.977
"374"	8085788	"NKIRAS1"	"NFKB inhibitor interacting Ras like 1"	-1.347	4.525
"375"	8087374	"C3orf62"	"chromosome 3 open reading frame 62"	-1.997	4.288
"376"	8088526	"THOC7"	"THO complex 7"	-0.863	3.347
"377"	8088911	"ZNF717"	"zinc finger protein 717"	3.507	4.915
"379"	8089040	"MINA"	"MYC induced nuclear antigen"	-0.97	3.457
"380"	8089795	"POPDC2///COX17"	"popeye domain containing 2///COX17, cytochrome c oxidase copper chaperone"	-1.397	4.169
"381"	8090291	"ALG1L"	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase like"	-1.17	4.064
"382"	8090988	"CEP70"	"centrosomal protein 70"	-1.217	3.206
"383"	8091009	"PIK3CB"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	-1.193	3.563
"384"	8092169	"TNFSF10"	"tumor necrosis factor superfamily member 10"	-2.927	3.859
"385"	8093258	"IQCG"	"IQ motif containing G"	-1.283	4.275
"386"	8094688	"LIAS"	"lipoic acid synthetase"	-1.56	3.994
"387"	8094778	"UCHL1"	"ubiquitin C-terminal hydrolase L1"	4.007	4.189
"390"	8097507	"RAB33B"	"RAB33B, member RAS oncogene family"	-1.273	3.621
"392"	8098690	"ZFP42"	"ZFP42 zinc finger protein"	3.757	6.179
"393"	8098758	"ZNF721"	"zinc finger protein 721"	-1.157	3.48
"394"	8099395	"RAB28"	"RAB28, member RAS oncogene family"	-1.7	3.173
