"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4990",NA,-2.15535069444444,2.68962633261538,-6.21206340892942,9.26748603158658e-06,0.00162513316919118,3.7419106251281
"3345","Rv0412c",-0.870239625222223,2.28793098230769,-6.20482905783127,9.3990910904714e-06,0.00162513316919118,3.72834491602128
"5001",NA,-1.77233959905556,4.65828504569231,-6.17386490304244,9.98462322186142e-06,0.00167242438966179,3.6701952152594
"5193",NA,-2.02861270327778,3.33534105730769,-6.06707484784611,1.23105263176289e-05,0.00199952791098458,3.4685789174615
"3573","Rv0061c",-1.36261012919444,2.27602228069231,-5.95711170791096,1.52972091075955e-05,0.00241156002402093,3.25925963799875
"4943",NA,-1.01988435516667,2.70465293115385,-5.93912058390172,1.58530385935656e-05,0.00242777962461461,3.22484924384976
"4565",NA,-0.868805293222222,2.59639756638462,-5.89582857450319,1.7277724410934e-05,0.0025724611900724,3.14186074823096
"2391","Rv3096",-0.981287415361112,1.73606061823077,-5.83147731812257,1.96443478405102e-05,0.0028457757952739,3.01801847043792
"2969","Rv3616c",-1.81821614102778,2.12852183253846,-5.81491578560093,2.03059649980437e-05,0.00286420979972406,2.98605324489515
"1500","Rvnt24",3.87026404427778,5.26204807461539,5.76067052514519,2.26386796824816e-05,0.00311136725892568,2.88109081852367
"4140",NA,-1.79012921025,3.06868587076923,-5.7411871693383,2.35425779890815e-05,0.00315470545053691,2.84329306468455
"2645","Rv3317",-1.78968377988889,3.02010441738462,-5.60306096694119,3.11169855404439e-05,0.00406797664626291,2.57386203875778
"4379",NA,-2.15549391569444,2.09683123369231,-5.5825574100986,3.24391330266411e-05,0.00413985126244754,2.53365156126982
"839","Rvnt21",2.97471117833333,5.73469670715385,5.559010172741,3.40292006275451e-05,0.00424177942706143,2.48740417567405
"92","Rv1060",-0.993239651444444,1.52522599,-5.51628283743743,3.71226248203518e-05,0.00448205022784133,2.40330294125419
"5237",NA,-0.7362345625,1.57792336753846,-5.50545956971432,3.79512447181034e-05,0.00448205022784133,2.38196193232129
"4254",NA,-1.75919211852778,2.33705907284615,-5.49886596863254,3.84653564329667e-05,0.00448205022784133,2.36895350902469
"5002",NA,-1.31311697444444,3.05059658369231,-5.39021693370999,4.80500352120705e-05,0.00541948059220534,2.15381036267842
"3280","Rv3891c",-1.33102893663889,1.76363255623077,-5.3853526262433,4.85326620197493e-05,0.00541948059220534,2.14414379425821
"4760",NA,-1.20477732155556,5.45294252676923,-5.3372514384835,5.35821944396843e-05,0.00586123596319812,2.04839902686476
"1897","Rv2654c",1.54003706105556,3.35597135830769,5.27920273106234,6.04024304539568e-05,0.00647514054466417,1.93248182082297
